Model,Sample,Split,Metric,Value
LR,1,0.9,Accuracy,0.853567476330468
LR,1,0.9,Precision,0.7827963169658433
LR,1,0.9,Recall,0.6397341596592336
LR,1,0.9,F1-Score,0.6718702737904397
LR,1,0.9,AUC,0.6397341596592336
KNN,1,0.9,Accuracy,0.8652485440583048
KNN,1,0.9,Precision,0.8313810077812915
KNN,1,0.9,Recall,0.6543380107732425
KNN,1,0.9,F1-Score,0.6930283420649925
KNN,1,0.9,AUC,0.6543380107732425
DTC,1,0.9,Accuracy,0.9396049675277495
DTC,1,0.9,Precision,0.8988405394685937
DTC,1,0.9,Recall,0.8929240542398398
DTC,1,0.9,F1-Score,0.8958429328115718
DTC,1,0.9,AUC,0.8929240542398396
RFC,1,0.9,Accuracy,0.9497434636321973
RFC,1,0.9,Precision,0.9239854704920152
RFC,1,0.9,Recall,0.9002230421997985
RFC,1,0.9,F1-Score,0.911512786667471
RFC,1,0.9,AUC,0.9002230421997987
XGB,1,0.9,Accuracy,0.9545947396072031
XGB,1,0.9,Precision,0.9286440357756891
XGB,1,0.9,Recall,0.9136114053199895
XGB,1,0.9,F1-Score,0.9208947676266459
XGB,1,0.9,AUC,0.9136114053199895
LR,1,0.8,Accuracy,0.8552218285062765
LR,1,0.8,Precision,0.786081974526329
LR,1,0.8,Recall,0.6412469551500288
LR,1,0.8,F1-Score,0.6739959735832887
LR,1,0.8,AUC,0.6412469551500287
KNN,1,0.8,Accuracy,0.8722404176121439
KNN,1,0.8,Precision,0.8404089207016093
KNN,1,0.8,Recall,0.6736744285901952
KNN,1,0.8,F1-Score,0.7150344052849458
KNN,1,0.8,AUC,0.6736744285901952
DTC,1,0.8,Accuracy,0.9390237086551682
DTC,1,0.8,Precision,0.8970692258642675
DTC,1,0.8,Recall,0.8919318297191658
DTC,1,0.8,F1-Score,0.8944708270548686
DTC,1,0.8,AUC,0.8919318297191658
RFC,1,0.8,Accuracy,0.9494193000301807
RFC,1,0.8,Precision,0.9231963636980389
RFC,1,0.8,Recall,0.8990150388057934
RFC,1,0.8,F1-Score,0.9104943461732629
RFC,1,0.8,AUC,0.8990150388057934
XGB,1,0.8,Accuracy,0.9540526039279686
XGB,1,0.8,Precision,0.9278192225679198
XGB,1,0.8,Recall,0.9116878592487254
XGB,1,0.8,F1-Score,0.91948575213064
XGB,1,0.8,AUC,0.9116878592487254
LR,1,0.7,Accuracy,0.8548194185175663
LR,1,0.7,Precision,0.7847728464703247
LR,1,0.7,Recall,0.6399929070742547
LR,1,0.7,F1-Score,0.6724996137933467
LR,1,0.7,AUC,0.6399929070742547
KNN,1,0.7,Accuracy,0.873974879183853
KNN,1,0.7,Precision,0.8378817636418776
KNN,1,0.7,Recall,0.6821035933517875
KNN,1,0.7,F1-Score,0.7233273151429788
KNN,1,0.7,AUC,0.6821035933517875
DTC,1,0.7,Accuracy,0.9378500128547635
DTC,1,0.7,Precision,0.8949346730810761
DTC,1,0.7,Recall,0.8899061077512147
DTC,1,0.7,F1-Score,0.8923917600070674
DTC,1,0.7,AUC,0.8899061077512146
RFC,1,0.7,Accuracy,0.9491286705938901
RFC,1,0.7,Precision,0.9228855354085572
RFC,1,0.7,Recall,0.8981308572700482
RFC,1,0.7,F1-Score,0.9098671445261759
RFC,1,0.7,AUC,0.898130857270048
XGB,1,0.7,Accuracy,0.9534247698252125
XGB,1,0.7,Precision,0.9270171132112135
XGB,1,0.7,Recall,0.9100974523691523
XGB,1,0.7,F1-Score,0.9182620900115366
XGB,1,0.7,AUC,0.9100974523691523
LR,1,0.6,Accuracy,0.8546545422027476
LR,1,0.6,Precision,0.783872410348595
LR,1,0.6,Recall,0.6397056555804459
LR,1,0.6,F1-Score,0.6720999220618078
LR,1,0.6,AUC,0.639705655580446
KNN,1,0.6,Accuracy,0.8727043069046847
KNN,1,0.6,Precision,0.8358327438857605
KNN,1,0.6,Recall,0.678195924815262
KNN,1,0.6,F1-Score,0.7190951634115713
KNN,1,0.6,AUC,0.6781959248152619
DTC,1,0.6,Accuracy,0.9362264003308705
DTC,1,0.6,Precision,0.8914236912027007
DTC,1,0.6,Recall,0.8881631773135383
DTC,1,0.6,F1-Score,0.8897812731888368
DTC,1,0.6,AUC,0.8881631773135383
RFC,1,0.6,Accuracy,0.948485932417478
RFC,1,0.6,Precision,0.922303581282023
RFC,1,0.6,Recall,0.8962094129934902
RFC,1,0.6,F1-Score,0.9085429350962126
RFC,1,0.6,AUC,0.8962094129934903
XGB,1,0.6,Accuracy,0.9533819206134516
XGB,1,0.6,Precision,0.9267291116765886
XGB,1,0.6,Recall,0.9102209125866274
XGB,1,0.6,F1-Score,0.9181939080465088
XGB,1,0.6,AUC,0.9102209125866274
LR,1,0.5,Accuracy,0.8550273303450666
LR,1,0.5,Precision,0.7838398157847819
LR,1,0.5,Recall,0.6405681057444363
LR,1,0.5,F1-Score,0.6730744106254849
LR,1,0.5,AUC,0.6405681057444362
KNN,1,0.5,Accuracy,0.8712042118912152
KNN,1,0.5,Precision,0.8331235828082617
KNN,1,0.5,Recall,0.6732196999738282
KNN,1,0.5,F1-Score,0.7136610903853597
KNN,1,0.5,AUC,0.6732196999738284
DTC,1,0.5,Accuracy,0.9351046824873408
DTC,1,0.5,Precision,0.8898237832296798
DTC,1,0.5,Recall,0.8852200896928075
DTC,1,0.5,F1-Score,0.8874975927197521
DTC,1,0.5,AUC,0.8852200896928076
RFC,1,0.5,Accuracy,0.9478879064620337
RFC,1,0.5,Precision,0.9209024804925069
RFC,1,0.5,Recall,0.8952789274157167
RFC,1,0.5,F1-Score,0.9074007930093594
RFC,1,0.5,AUC,0.8952789274157167
XGB,1,0.5,Accuracy,0.9531751265914756
